name,K<sub>tg</sub>,K<sub>tg</sub>,K<sub>tn</sub>,K<sub>tn</sub>
axis,a/w,K<sub>t</sub>,a/w,K<sub>t</sub>
143,0.3341959798994975,3.5066194248814857,0.5140814070351759,2.108554303536941
144,0.3365246231155779,3.516859693866815,0.5176763819095478,2.106147610553918
145,0.3388532663316583,3.5272346647285273,0.5212713567839197,2.1037529500131606
146,0.3411819095477387,3.537745013512703,0.5248663316582914,2.1013690480701834
147,0.34351055276381914,3.5483914096115545,0.5284613065326633,2.0989946862483535
148,0.34583919597989954,3.559174515791624,0.5320562814070352,2.0966287060271656
149,0.34816783919597993,3.5700949882259776,0.5356512562814071,2.0942700135259584
150,0.35049648241206033,3.5811534765303787,0.539246231155779,2.0919175842830695
151,0.3528251256281407,3.5923506238034513,0.5428412060301508,2.089570468130408
152,0.3551537688442211,3.6036870666708305,0.5464361809045226,2.087227794163476
153,0.3574824120603015,3.6151634353333018,0.5500311557788945,2.084888775806812
154,0.3598110552763819,3.6267803536189223,0.5536261306532664,2.0825527159748782
155,0.36213969849246236,3.6385384390391353,0.5572211055276383,2.08021901232837
156,0.36446834170854275,3.650438302848867,0.5608160804020101,2.0778871626259683
157,0.36679698492462315,3.6624805501106144,0.5644110552763819,2.0755567701715196
158,0.36912562814070354,3.6746657797625164,0.5680060301507538,2.0732275493566497
159,0.37145427135678394,3.6869945846904155,0.5716010050251257,2.070899331298814
160,0.37378291457286433,3.699467551803904,0.5751959798994976,2.068572069574783
161,0.37611155778894473,3.7120852621163585,0.5787909547738694,2.0662458460495468
162,0.3784402010050252,3.7248482908289615,0.5823859296482412,2.0639208768006734
163,0.3807688442211056,3.73775720741871,0.5859809045226131,2.061597518138088
164,0.38309748743718597,3.7508125757304103,0.589575879396985,2.0592762727192833
165,0.38542613065326636,3.764014954072662,0.5931708542713569,2.0569577957599767
166,0.38775477386934676,3.7773648953178283,0.5967658291457287,2.054642901340184
167,0.39008341708542715,3.7908629470059902,0.6003608040201005,2.052332568805739
168,0.39241206030150755,3.8045096514528933,0.6039557788944724,2.050027949265238
169,0.39474070351758794,3.818305545861878,0.6075507537688443,2.0477303721824294
170,0.3970693467336684,3.8322511624397975,0.6111457286432161,2.045441352064019
171,0.3993979899497488,3.8463470285169237,0.614740703517588,2.043162595242922
172,0.4017266331658292,3.8605936666708396,0.6183356783919598,2.040896006756957
173,0.4040552763819096,3.8749915948543188,0.6219306532663317,2.038643697322936
174,0.40638391959799,3.8895413265271914,0.6255256281407036,2.036407990406235
175,0.40871256281407037,3.9042433707922006,0.6291206030150754,2.0341914293857677
176,0.41104120603015076,3.919098232534839,0.6327155778894473,2.0319967848144005
177,0.4133698492462312,3.934106412567182,0.6363105527638191,2.029827061774798
178,0.4156984924623116,3.9492684077756977,0.639905527638191,2.027685507330716
179,0.418027135678392,3.9645847112730537,0.6435005025125629,2.025575618073703
180,0.4203557788944724,3.9800558125539034,0.6470954773869347,2.0235011477652565
181,0.4226844221105528,3.995682197654664,0.6506904522613066,2.021466115074406
182,0.4250130653266332,4.011464349317279,0.6542854271356784,2.0194748114107215
183,0.4273417085427136,4.027402747156971,0.6578804020100503,2.0175318088527687
184,0.429670351758794,4.043497867833976,0.6614753768844222,2.015641968171992
185,0.43199899497487443,4.0597501852292694,0.665070351758794,2.013810446952019
186,0.4343276381909548,4.076160170624283,0.6686653266331659,2.0120427078034195
187,0.4366562814070352,4.092728292884596,0.6722603015075377,2.01034452667389
188,0.4389849246231156,4.109455018647626,0.6758552763819096,2.008722001253852
189,0.441313567839196,4.126340812514303,0.6794502512562814,2.007181559477524
190,0.4436422110552764,4.143386137244727,0.6830452261306533,2.005729968119386
191,0.4459708542713568,4.160591453957817,0.6866402010050252,2.0043743414861
192,0.44829949748743725,4.177957222334945,0.690235175879397,2.003122150203855
193,0.45062814070351764,4.1954839008275595,0.6938301507537689,2.001981230101165
194,0.45295678391959804,4.213171946868792,0.6974251256281407,2.0009597911870616
195,0.45528542713567843,4.231021817089054,0.7010201005025126,2.000066426724759
196,0.45761407035175883,4.249033967535621,0.7046150753768845,1.9993101224007284
197,0.4599427135678392,4.267208853896202,0.7082100502512564,1.9987002655892165
198,0.4622713567839196,4.285546931726493,0.7118050251256282,1.9982466547121893
199,0.4646,4.304048656681731,0.7154,1.99795950869473
