name,4330M(180-200KSI),4330M(180-200KSI),15-5 PH ( 150-170 KSI),15-5 PH ( 150-170 KSI),15-5_PH(180-200KSI),15-5_PH(180-200KSI),17-4_PH(180-200KSI),17-4_PH(180-200KSI),4130(150-170_KSI),4130(150-170_KSI),301(FH),301(FH),4130(180-200 KSI),4130(180-200 KSI),4330_M(220-240KSI),4330_M(220-240KSI),4340M(275-300KSI),4340M(275-300KSI),4340(260-280KSI),4340(260-280KSI)
axis,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$
19,0.07761815834634635,328.8033634763558,0.08510943375808219,328.61267850661847,0.08500662780480481,329.65236971491305,0.0663961263063063,275.82910334147755,0.08161675152252253,268.3016349381383,-0.022223978364329367,144.210526315789,-0.013877620310368918,106.31578947368396,0.053088223326326324,80.00000000000001,0.043099856406406414,57.222222220000006,0.05115656164664665,46.432980419821625
20,0.0790006218908909,328.80052556763627,0.08645943240537812,328.59876033794706,0.08635121563663664,329.6104001102235,0.06775694658558558,274.1413707163442,0.08178719223423424,268.29996660330346,-0.02216251339058369,144.210526315789,-0.013638492293463124,106.31578947368396,0.05445986523823824,80.00000000000001,0.044514784848848854,57.222222220000006,0.052568784680680686,46.42057722598713
21,0.08038308543543543,328.794731361147,0.08780943105267407,328.58504609700407,0.08769580346846848,329.55201065886274,0.06911776686486486,272.34776516270193,0.08195763294594595,268.29829826846867,-0.022101048416838014,144.210526315789,-0.013399364276557331,106.31578947368396,0.055831507150150145,80.00000000000001,0.045929713291291294,57.222222220000006,0.053981007714714715,46.40792107153011
22,0.08176554897997998,328.7861383681526,0.08915942969997001,328.5715456535545,0.08904039130030031,329.4759728308593,0.07047858714414414,270.45328374717843,0.08212807365765766,268.2966299336338,-0.02203958344309234,144.210526315789,-0.013160236259651537,106.31578947368398,0.05720314906206206,80.00000000000001,0.04734464173373373,57.222222220000006,0.05539323074874875,46.39498741561326
23,0.08314801252452453,328.7749040999179,0.09050942834726594,328.5582688773634,0.09038497913213214,329.38105809624165,0.07183940742342343,268.46292353640143,0.08229851436936937,268.294961598799,-0.021978118469346664,144.21052631578902,-0.012921108242745744,106.31578947368398,0.05857479097397397,80.00000000000001,0.04875957017617618,57.222222220000006,0.05680545378278278,46.381751717399226
24,0.08453047606906908,328.76118606770746,0.09185942699456187,328.5452256381958,0.09172956696396398,329.26603792503846,0.07320022770270271,266.38168159699876,0.08246895508108108,268.29329326396413,-0.02191665349560099,144.21052631578902,-0.01268198022583995,106.31578947368398,0.059946432885885886,80.00000000000001,0.05017449861861862,57.222222220000006,0.05821767681681682,46.36818943605069
25,0.08591293961361361,328.74514178278605,0.09320942564185782,328.5324258058168,0.09307415479579581,329.1296837872782,0.07456104798198199,264.2145549955981,0.0826393957927928,268.29162492912934,-0.021855188521855314,144.21052631578902,-0.012442852208934155,106.31578947368398,0.0613180747977978,80.00000000000001,0.051589427061061066,57.22222222000001,0.059629899850850855,46.354276030730325
26,0.08729540315815816,328.72692875641843,0.09455942428915376,328.51987924999133,0.09441874262762764,328.9707671529896,0.07592186826126127,261.9665407988273,0.0828098365045045,268.2899565942945,-0.02179372354810964,144.21052631578902,-0.012203724192028361,106.31578947368398,0.06268971670970971,80.00000000000001,0.053004355503503506,57.22222222000001,0.061042122884884885,46.33998696060079
27,0.0886778667027027,328.70670449986926,0.09590942293644969,328.5075958404845,0.09576333045945946,328.788059492201,0.07728268854054055,259.642636073314,0.08298027721621622,268.28828825945965,-0.021732258574363963,144.21052631578902,-0.011964596175122568,106.31578947368398,0.06406135862162161,80.00000000000001,0.05441928394594595,57.22222222000001,0.06245434591891892,46.325297684824776
28,0.09006033024724724,328.68462652440326,0.09725942158374562,328.4955854470614,0.0971079182912913,328.5803322749411,0.07864350881981982,257.247837885686,0.08315071792792793,268.2866199246248,-0.021670793600618285,144.21052631578902,-0.011725468158216774,106.31578947368398,0.06543300053353353,80.00000000000003,0.05583421238838839,57.22222222000001,0.06386656895295295,46.31018366256493
29,0.0914427937917918,328.66085234128514,0.09860942023104155,328.48385793948694,0.09845250612312313,328.3463569712384,0.0800043290990991,254.78714330257102,0.08332115863963964,268.28495158979,-0.02160932862687261,144.21052631578902,-0.011486340141310981,106.31578947368399,0.06680464244544544,80.00000000000003,0.05724914083083084,57.22222222000001,0.065278791986987,46.29462035298394
30,0.09282525733633634,328.63553946177956,0.0999594188783375,328.47242318752626,0.09979709395495495,328.0849050511215,0.08136514937837838,252.26554939059682,0.08349159935135135,268.28328325495517,-0.021547863653126935,144.21052631578902,-0.011247212124405187,106.31578947368399,0.06817628435735736,80.00000000000003,0.05866406927327328,57.22222222000001,0.06669101502102102,46.278583215244474
31,0.09420772088088089,328.6088453971513,0.10130941752563344,328.4612910609444,0.10114168178678679,327.7947479846189,0.08272596965765766,249.68805321639118,0.08366204006306306,268.2816149201203,-0.02148639867938126,144.21052631578905,-0.011008084107499393,106.31578947368399,0.06954792626926927,80.00000000000003,0.060078997715715725,57.22222222000001,0.06810323805505505,46.26204770850919
32,0.09559018442542543,328.580927658665,0.10265941617292937,328.45047142950636,0.10248626961861862,327.47465724175925,0.08408678993693694,247.05965184658183,0.08383248077477477,268.27994658528553,-0.021424933705635585,144.21052631578905,-0.010768956090593598,106.31578947368399,0.07091956818118118,80.00000000000003,0.061493926158158164,57.22222222000002,0.0695154610890891,46.244989291940776
33,0.09697264796996996,328.55194375758543,0.1040094148202253,328.4399741629772,0.10383085745045045,327.123404292571,0.08544761021621622,244.38534234779652,0.08400292148648648,268.2782782504507,-0.02136346873188991,144.21052631578905,-0.010529828073687806,106.31578947368399,0.0722912100930931,80.00000000000003,0.06290885460060061,57.22222222000002,0.07092768412312313,46.227383424701884
34,0.09835511151451451,328.5220512051773,0.10535941346752124,328.42980913112194,0.10517544528228229,326.7397606070828,0.0868084304954955,241.670121786663,0.0841733621981982,268.27660991561584,-0.021302003758144235,144.21052631578905,-0.010290700056782011,106.31578947368399,0.073662852005005,80.00000000000003,0.06432378304304305,57.22222222000002,0.07233990715715716,46.2092055659552
35,0.09973757505905906,328.4914075126971,0.10670941211481719,328.4199862036974,0.10652003311411412,326.32249765531503,0.08816925077477478,238.91898722980318,0.0843438029099099,268.27494158077417,-0.021240538784398556,144.21052631578544,-0.010051572039876217,106.31578947368138,0.07503449391691691,79.99999999999802,0.06573871148548549,57.22222221999859,0.0737521301911912,46.190431174862226
36,0.10112003860360361,328.4653171793122,0.10805941076211312,328.4277549150082,0.10786462094594595,325.8227657533873,0.08953007105405406,236.36763210977512,0.08451424362162162,268.27327324593927,-0.02117907381065288,144.21052631578544,-0.009812444022970424,106.31578947368138,0.07640613582882883,79.99999999999802,0.06715363992792794,57.22222221999859,0.07516435322522522,46.169470711581795
